Mot;Abréviation;Définition
(I);fr.; On  lit  en  effet  dans  cette  préface  :  «  Rien  ne  servirait  mieux  à  perfectionner  la  science  étymologique  qu'une  recherche  exacte  des  mots  particuliers  aux  diverses  provinces  du  royaume,  s  M.  Littré  dit  de  son  côté  :  f  Sans  les  patois  enregistrés,  confrontés  et  analysés,  le  système  de  la  grande  langue  d'oil  demeure  imparfait.  »  {llisl.  de  la  langue  fr.  II,  p.  153.)
E;Norm.;" dans  quelques  mots  s'emploie  pour  l'o  français  :  «  droit,  endreit,  fré,  fréde,  melin  »  ou  plutôt  <i  m'iin  »  =  moulin;  «  meloise,  menoille  »,  pour  moloise,  tiré  du  1.  mollis.  La  même  notation  se  retrouve  dans  presque  tous  les  patois  d'oïl  et  même  d'oc,  puisque  le  languedocien  a  «  dré  »  pour  droit  et  le  provençal  «  drech.  »  La  Chron.  des  ducs  de  Norm.  porte  dreiture  pour  droiture,  et  dreiz,  drei-  turier  pour  droit.  Seir  pour  soir  est  aussi  familier  au  dialecte  normand  :"
E;a.; fermé  s'emploie  pour  a  dans  le  présent  de  l'indicatif  du  verbe  avoir  :  «  i  é,  t'é,  al  é  »,  pour  jai,  lu  as,  il  a.  Il  en  est  de  même  en  bourguignon  :
M;Gloss.;" prend  la  place  de  b  dans  «  aimenitié  »,  bénitier,  «  menion  »,  bénisson  ;  de  v  dans  «  menoinge  pour  «  venoinge  »,  vendange.  Le  Gloss.  du  Centre  avance  qu'à  Clamecy  (Nièvre)  on  prononce  «  menir  pour  venir."
R;Gloss.; se  soude  par  liaison  euphonique  à  la  place  de  s  dans  «  r'aimis,  r'anfans,  r'années,  etc.  »  (Voyez  au  Gloss.  la  lettre  fi.)
X;s.; dans  les  terminaisons  as,  eas,  ias,  qui  correspondent  au  français  aus,  eaus,  iaus,  n'est  autre  cliose  qu'une  variété  orthographique  de  s.  On  écrivait  biax,  viax,  et  on  prononçait  bias,  vias,  comme  dans  notre  région  morvandelle-bourguignonne  d'Anost  :
V.;V.;
A;sing., plur.;"s'emploie  pour  il,  pronom,  3""  pers.  du  masc.  au  sing.  et  au  plur.  «  a  dreume,  a  vin  »,  il  dort,  il  vient  ;  —  «  a  labouéran,  abattan  »,  ils  labourent,  ils  combattent.  —  On  prononce  al  devant  une  voyelle  :  «  al  ô  saige,  al  ô  mailaide  »,  il  est  sage,  il  est  malade;  —  «  al  an  d'  lai  poingne  »,  ils  ont  de  la  peine.  Il  en  est  de  même  devant  un  verbe  impersonnel  :  «  a  pieu,  a  noige,  a  grôle  »,  il  pleut,  il  neige,  il  grêle.  Au  fémin.  «  ile,  lé,  aules.  »  —  Voyez  ces  mots."
À.;s., m.;s.  m.  Ais,  planche  qui  remplace  dans  nos  campagnes  les  tablettes  de  cheminée  et  sur  la-  quelle on  pose  la  lampe ,  l'almanach ,  la  croix  de  par  Dieu  et  les  autres  menus  objets  du  mo-  bilier rustique.
AÀ,;s., f., Morv., b.;f.  Eau.  Cette  prononciation  est  usuelle  aux  confins  du  Morv.  b.  La  répétition  de  la  voyelle  tend  à  exprimer  la  tenue  du  son.
